geography_code,total_pop,date,geography,value,cob_region,cob,percs
E09000015,261201,2021,Harrow,735,The Americas and the Caribbean,United States,0.28
E09000016,262058,2021,Havering,363,The Americas and the Caribbean,United States,0.14
E09000017,305912,2021,Hillingdon,909,The Americas and the Caribbean,United States,0.3
E09000018,288177,2021,Hounslow,1383,The Americas and the Caribbean,United States,0.48
E09000019,216589,2021,Islington,4149,The Americas and the Caribbean,United States,1.92
E09000020,143375,2021,Kensington and Chelsea,5806,The Americas and the Caribbean,United States,4.05
E09000021,168064,2021,Kingston upon Thames,1113,The Americas and the Caribbean,United States,0.66
E09000022,317654,2021,Lambeth,3061,The Americas and the Caribbean,United States,0.96
E09000023,300556,2021,Lewisham,2078,The Americas and the Caribbean,United States,0.69
E09000024,215184,2021,Merton,1437,The Americas and the Caribbean,United States,0.67
E09000025,351041,2021,Newham,919,The Americas and the Caribbean,United States,0.26
E09000026,310257,2021,Redbridge,631,The Americas and the Caribbean,United States,0.2
E09000027,195277,2021,Richmond upon Thames,2841,The Americas and the Caribbean,United States,1.45
E09000028,307632,2021,Southwark,3373,The Americas and the Caribbean,United States,1.1
E09000029,209640,2021,Sutton,520,The Americas and the Caribbean,United States,0.25
E09000030,310304,2021,Tower Hamlets,2728,The Americas and the Caribbean,United States,0.88
E09000031,278417,2021,Waltham Forest,1112,The Americas and the Caribbean,United States,0.4
E09000032,327502,2021,Wandsworth,4486,The Americas and the Caribbean,United States,1.37
E09000033,204238,2021,Westminster,6421,The Americas and the Caribbean,United States,3.14
E09000001,8579,2021,City of London,238,The Americas and the Caribbean,All South American countries,2.77
E09000002,218870,2021,Barking and Dagenham,881,The Americas and the Caribbean,All South American countries,0.4
E09000003,389342,2021,Barnet,4758,The Americas and the Caribbean,All South American countries,1.22
E09000004,246472,2021,Bexley,1037,The Americas and the Caribbean,All South American countries,0.42
E09000005,339817,2021,Brent,7606,The Americas and the Caribbean,All South American countries,2.24
E09000006,329984,2021,Bromley,3069,The Americas and the Caribbean,All South American countries,0.93
E09000007,210135,2021,Camden,3839,The Americas and the Caribbean,All South American countries,1.83
E09000008,390719,2021,Croydon,6118,The Americas and the Caribbean,All South American countries,1.57
E09000009,367116,2021,Ealing,4109,The Americas and the Caribbean,All South American countries,1.12
E09000010,329987,2021,Enfield,3144,The Americas and the Caribbean,All South American countries,0.95
E09000011,289073,2021,Greenwich,3785,The Americas and the Caribbean,All South American countries,1.31
E09000012,259147,2021,Hackney,5376,The Americas and the Caribbean,All South American countries,2.07
E09000013,183149,2021,Hammersmith and Fulham,4289,The Americas and the Caribbean,All South American countries,2.34
E09000014,264236,2021,Haringey,8730,The Americas and the Caribbean,All South American countries,3.3
E09000015,261201,2021,Harrow,1507,The Americas and the Caribbean,All South American countries,0.58
E09000016,262058,2021,Havering,789,The Americas and the Caribbean,All South American countries,0.3
E09000017,305912,2021,Hillingdon,1572,The Americas and the Caribbean,All South American countries,0.51
E09000018,288177,2021,Hounslow,2449,The Americas and the Caribbean,All South American countries,0.85
E09000019,216589,2021,Islington,4709,The Americas and the Caribbean,All South American countries,2.17
E09000020,143375,2021,Kensington and Chelsea,3788,The Americas and the Caribbean,All South American countries,2.64
E09000021,168064,2021,Kingston upon Thames,1989,The Americas and the Caribbean,All South American countries,1.18
E09000022,317654,2021,Lambeth,13182,The Americas and the Caribbean,All South American countries,4.15
E09000023,300556,2021,Lewisham,7173,The Americas and the Caribbean,All South American countries,2.39
E09000024,215184,2021,Merton,4519,The Americas and the Caribbean,All South American countries,2.1
E09000025,351041,2021,Newham,5455,The Americas and the Caribbean,All South American countries,1.55
E09000026,310257,2021,Redbridge,1388,The Americas and the Caribbean,All South American countries,0.45
E09000027,195277,2021,Richmond upon Thames,2495,The Americas and the Caribbean,All South American countries,1.28
E09000028,307632,2021,Southwark,12242,The Americas and the Caribbean,All South American countries,3.98
E09000029,209640,2021,Sutton,1872,The Americas and the Caribbean,All South American countries,0.89
E09000030,310304,2021,Tower Hamlets,4798,The Americas and the Caribbean,All South American countries,1.55
E09000031,278417,2021,Waltham Forest,3147,The Americas and the Caribbean,All South American countries,1.13
E09000032,327502,2021,Wandsworth,7403,The Americas and the Caribbean,All South American countries,2.26
E09000033,204238,2021,Westminster,4862,The Americas and the Caribbean,All South American countries,2.38
E09000001,8579,2021,City of London,7,The Americas and the Caribbean,Jamaica,0.08
E09000002,218870,2021,Barking and Dagenham,970,The Americas and the Caribbean,Jamaica,0.44
E09000003,389342,2021,Barnet,872,The Americas and the Caribbean,Jamaica,0.22
E09000004,246472,2021,Bexley,691,The Americas and the Caribbean,Jamaica,0.28
E09000005,339817,2021,Brent,5423,The Americas and the Caribbean,Jamaica,1.6
E09000006,329984,2021,Bromley,1753,The Americas and the Caribbean,Jamaica,0.53
E09000007,210135,2021,Camden,350,The Americas and the Caribbean,Jamaica,0.17
E09000008,390719,2021,Croydon,9397,The Americas and the Caribbean,Jamaica,2.41
E09000009,367116,2021,Ealing,1983,The Americas and the Caribbean,Jamaica,0.54
E09000010,329987,2021,Enfield,4072,The Americas and the Caribbean,Jamaica,1.23
E09000011,289073,2021,Greenwich,2047,The Americas and the Caribbean,Jamaica,0.71
E09000012,259147,2021,Hackney,3250,The Americas and the Caribbean,Jamaica,1.25
E09000013,183149,2021,Hammersmith and Fulham,850,The Americas and the Caribbean,Jamaica,0.46
E09000014,264236,2021,Haringey,3799,The Americas and the Caribbean,Jamaica,1.44
E09000015,261201,2021,Harrow,1505,The Americas and the Caribbean,Jamaica,0.58
E09000016,262058,2021,Havering,671,The Americas and the Caribbean,Jamaica,0.26
E09000017,305912,2021,Hillingdon,904,The Americas and the Caribbean,Jamaica,0.3
E09000018,288177,2021,Hounslow,654,The Americas and the Caribbean,Jamaica,0.23
E09000019,216589,2021,Islington,1122,The Americas and the Caribbean,Jamaica,0.52
E09000020,143375,2021,Kensington and Chelsea,322,The Americas and the Caribbean,Jamaica,0.22
E09000021,168064,2021,Kingston upon Thames,183,The Americas and the Caribbean,Jamaica,0.11
E09000022,317654,2021,Lambeth,7842,The Americas and the Caribbean,Jamaica,2.47
E09000023,300556,2021,Lewisham,8679,The Americas and the Caribbean,Jamaica,2.89
