geography_code,total_pop,date,geography,value,cob_region,cob,percs
E12000002,7417398,2021,North West,7060,Antarctica and Oceania,Australia,0.1
E12000003,5480772,2021,Yorkshire and The Humber,4934,Antarctica and Oceania,Australia,0.09
E12000004,4880054,2021,East Midlands,4389,Antarctica and Oceania,Australia,0.09
E12000005,5950757,2021,West Midlands,4744,Antarctica and Oceania,Australia,0.08
E12000006,6335077,2021,East of England,10364,Antarctica and Oceania,Australia,0.16
E12000007,8799725,2021,London,43418,Antarctica and Oceania,Australia,0.49
E12000008,9278064,2021,South East,22459,Antarctica and Oceania,Australia,0.24
E12000009,5701188,2021,South West,10587,Antarctica and Oceania,Australia,0.19
E12000001,2647004,2021,North East,763,Antarctica and Oceania,New Zealand,0.03
E12000002,7417398,2021,North West,2528,Antarctica and Oceania,New Zealand,0.03
E12000003,5480772,2021,Yorkshire and The Humber,1932,Antarctica and Oceania,New Zealand,0.04
E12000004,4880054,2021,East Midlands,1850,Antarctica and Oceania,New Zealand,0.04
E12000005,5950757,2021,West Midlands,1733,Antarctica and Oceania,New Zealand,0.03
E12000006,6335077,2021,East of England,4790,Antarctica and Oceania,New Zealand,0.08
E12000007,8799725,2021,London,19058,Antarctica and Oceania,New Zealand,0.22
E12000008,9278064,2021,South East,10239,Antarctica and Oceania,New Zealand,0.11
E12000009,5701188,2021,South West,4949,Antarctica and Oceania,New Zealand,0.09
E12000001,2647004,2021,North East,0,Antarctica and Oceania,Other Australasia,0
E12000002,7417398,2021,North West,5,Antarctica and Oceania,Other Australasia,0
E12000003,5480772,2021,Yorkshire and The Humber,2,Antarctica and Oceania,Other Australasia,0
E12000004,4880054,2021,East Midlands,1,Antarctica and Oceania,Other Australasia,0
E12000005,5950757,2021,West Midlands,2,Antarctica and Oceania,Other Australasia,0
E12000006,6335077,2021,East of England,13,Antarctica and Oceania,Other Australasia,0
E12000007,8799725,2021,London,14,Antarctica and Oceania,Other Australasia,0
E12000008,9278064,2021,South East,5,Antarctica and Oceania,Other Australasia,0
E12000009,5701188,2021,South West,4,Antarctica and Oceania,Other Australasia,0
E12000001,2647004,2021,North East,228,Antarctica and Oceania,Other Oceania and Antarctica,0.01
E12000002,7417398,2021,North West,587,Antarctica and Oceania,Other Oceania and Antarctica,0.01
E12000003,5480772,2021,Yorkshire and The Humber,944,Antarctica and Oceania,Other Oceania and Antarctica,0.02
E12000004,4880054,2021,East Midlands,895,Antarctica and Oceania,Other Oceania and Antarctica,0.02
E12000005,5950757,2021,West Midlands,1220,Antarctica and Oceania,Other Oceania and Antarctica,0.02
E12000006,6335077,2021,East of England,1082,Antarctica and Oceania,Other Oceania and Antarctica,0.02
E12000007,8799725,2021,London,2324,Antarctica and Oceania,Other Oceania and Antarctica,0.03
E12000008,9278064,2021,South East,2659,Antarctica and Oceania,Other Oceania and Antarctica,0.03
E12000009,5701188,2021,South West,2235,Antarctica and Oceania,Other Oceania and Antarctica,0.04
E12000001,2647004,2021,North East,1942,Europe,Lithuania,0.07
E12000002,7417398,2021,North West,8949,Europe,Lithuania,0.12
E12000003,5480772,2021,Yorkshire and The Humber,11616,Europe,Lithuania,0.21
E12000004,4880054,2021,East Midlands,19532,Europe,Lithuania,0.4
E12000005,5950757,2021,West Midlands,9647,Europe,Lithuania,0.16
E12000006,6335077,2021,East of England,37896,Europe,Lithuania,0.6
E12000007,8799725,2021,London,45378,Europe,Lithuania,0.52
E12000008,9278064,2021,South East,19071,Europe,Lithuania,0.21
E12000009,5701188,2021,South West,7565,Europe,Lithuania,0.13
E12000001,2647004,2021,North East,9707,Europe,Other EU 2001-2011 members,0.37
E12000002,7417398,2021,North West,45719,Europe,Other EU 2001-2011 members,0.62
E12000003,5480772,2021,Yorkshire and The Humber,46481,Europe,Other EU 2001-2011 members,0.85
E12000004,4880054,2021,East Midlands,48586,Europe,Other EU 2001-2011 members,1
E12000005,5950757,2021,West Midlands,43261,Europe,Other EU 2001-2011 members,0.73
E12000006,6335077,2021,East of England,60512,Europe,Other EU 2001-2011 members,0.96
E12000007,8799725,2021,London,167657,Europe,Other EU 2001-2011 members,1.91
E12000008,9278064,2021,South East,89575,Europe,Other EU 2001-2011 members,0.97
E12000009,5701188,2021,South West,38860,Europe,Other EU 2001-2011 members,0.68
E12000001,2647004,2021,North East,12131,Europe,Poland,0.46
E12000002,7417398,2021,North West,76688,Europe,Poland,1.03
E12000003,5480772,2021,Yorkshire and The Humber,70820,Europe,Poland,1.29
E12000004,4880054,2021,East Midlands,79843,Europe,Poland,1.64
E12000005,5950757,2021,West Midlands,72749,Europe,Poland,1.22
E12000006,6335077,2021,East of England,81049,Europe,Poland,1.28
E12000007,8799725,2021,London,149397,Europe,Poland,1.7
E12000008,9278064,2021,South East,112415,Europe,Poland,1.21
E12000009,5701188,2021,South West,63159,Europe,Poland,1.11
E12000001,2647004,2021,North East,7596,Europe,Romania,0.29
E12000002,7417398,2021,North West,33918,Europe,Romania,0.46
E12000003,5480772,2021,Yorkshire and The Humber,32912,Europe,Romania,0.6
