orig_names_21,plot_name_21,date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
Antarctica and Oceania: Australasia: Other Australasia,Other Australasia,2011,Redbridge,E09000026,Total,278970,231,Antarctica and Oceania,Other Australasia,0.08
Antarctica and Oceania: Australasia: Other Australasia,Other Australasia,2011,Richmond upon Thames,E09000027,Total,186990,1152,Antarctica and Oceania,Other Australasia,0.62
Antarctica and Oceania: Australasia: Other Australasia,Other Australasia,2011,Sutton,E09000029,Total,190146,258,Antarctica and Oceania,Other Australasia,0.14
Antarctica and Oceania: Australasia: Other Australasia,Other Australasia,2011,Waltham Forest,E09000031,Total,258249,372,Antarctica and Oceania,Other Australasia,0.14
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Camden,E09000007,Total,220338,53,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,City of London,E09000001,Total,7375,2,Antarctica and Oceania,Other Oceania and Antarctica,0.03
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Hackney,E09000012,Total,246270,45,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Hammersmith and Fulham,E09000013,Total,182493,68,Antarctica and Oceania,Other Oceania and Antarctica,0.04
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Haringey,E09000014,Total,254926,35,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Islington,E09000019,Total,206125,48,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Kensington and Chelsea,E09000020,Total,158649,49,Antarctica and Oceania,Other Oceania and Antarctica,0.03
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Lambeth,E09000022,Total,303086,82,Antarctica and Oceania,Other Oceania and Antarctica,0.03
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Lewisham,E09000023,Total,275885,55,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Newham,E09000025,Total,307984,37,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Southwark,E09000028,Total,288283,65,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Tower Hamlets,E09000030,Total,254096,46,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Wandsworth,E09000032,Total,306995,112,Antarctica and Oceania,Other Oceania and Antarctica,0.04
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Westminster,E09000033,Total,219396,116,Antarctica and Oceania,Other Oceania and Antarctica,0.05
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Barking and Dagenham,E09000002,Total,185911,18,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Barnet,E09000003,Total,356386,76,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Bexley,E09000004,Total,231997,17,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Brent,E09000005,Total,311215,230,Antarctica and Oceania,Other Oceania and Antarctica,0.07
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Bromley,E09000006,Total,309392,16,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Croydon,E09000008,Total,363378,55,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Ealing,E09000009,Total,338449,144,Antarctica and Oceania,Other Oceania and Antarctica,0.04
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Enfield,E09000010,Total,312466,42,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Greenwich,E09000011,Total,254557,84,Antarctica and Oceania,Other Oceania and Antarctica,0.03
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Harrow,E09000015,Total,239056,144,Antarctica and Oceania,Other Oceania and Antarctica,0.06
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Havering,E09000016,Total,237232,13,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Hillingdon,E09000017,Total,273936,129,Antarctica and Oceania,Other Oceania and Antarctica,0.05
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Hounslow,E09000018,Total,253957,115,Antarctica and Oceania,Other Oceania and Antarctica,0.05
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Kingston upon Thames,E09000021,Total,160060,47,Antarctica and Oceania,Other Oceania and Antarctica,0.03
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Merton,E09000024,Total,199693,39,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Redbridge,E09000026,Total,278970,40,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Richmond upon Thames,E09000027,Total,186990,44,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Sutton,E09000029,Total,190146,23,Antarctica and Oceania,Other Oceania and Antarctica,0.01
Antarctica and Oceania: Other Oceania and Antarctica,Other Oceania and Antarctica,2011,Waltham Forest,E09000031,Total,258249,44,Antarctica and Oceania,Other Oceania and Antarctica,0.02
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Camden,E09000007,Total,220338,253,Europe,Lithuania,0.11
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,City of London,E09000001,Total,7375,15,Europe,Lithuania,0.2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Hackney,E09000012,Total,246270,504,Europe,Lithuania,0.2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Hammersmith and Fulham,E09000013,Total,182493,368,Europe,Lithuania,0.2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Haringey,E09000014,Total,254926,955,Europe,Lithuania,0.37
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Islington,E09000019,Total,206125,245,Europe,Lithuania,0.12
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Kensington and Chelsea,E09000020,Total,158649,235,Europe,Lithuania,0.15
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Lambeth,E09000022,Total,303086,603,Europe,Lithuania,0.2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Lewisham,E09000023,Total,275885,1332,Europe,Lithuania,0.48
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Newham,E09000025,Total,307984,8348,Europe,Lithuania,2.71
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Southwark,E09000028,Total,288283,860,Europe,Lithuania,0.3
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Tower Hamlets,E09000030,Total,254096,1140,Europe,Lithuania,0.45
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Wandsworth,E09000032,Total,306995,620,Europe,Lithuania,0.2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Westminster,E09000033,Total,219396,413,Europe,Lithuania,0.19
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Barking and Dagenham,E09000002,Total,185911,4028,Europe,Lithuania,2.17
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Barnet,E09000003,Total,356386,1076,Europe,Lithuania,0.3
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Bexley,E09000004,Total,231997,629,Europe,Lithuania,0.27
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Brent,E09000005,Total,311215,1064,Europe,Lithuania,0.34
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Bromley,E09000006,Total,309392,539,Europe,Lithuania,0.17
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Croydon,E09000008,Total,363378,802,Europe,Lithuania,0.22
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Ealing,E09000009,Total,338449,1292,Europe,Lithuania,0.38
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Enfield,E09000010,Total,312466,875,Europe,Lithuania,0.28
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Greenwich,E09000011,Total,254557,1979,Europe,Lithuania,0.78
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Harrow,E09000015,Total,239056,550,Europe,Lithuania,0.23
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Havering,E09000016,Total,237232,1065,Europe,Lithuania,0.45
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Hillingdon,E09000017,Total,273936,921,Europe,Lithuania,0.34
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Hounslow,E09000018,Total,253957,1143,Europe,Lithuania,0.45
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Kingston upon Thames,E09000021,Total,160060,414,Europe,Lithuania,0.26
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Merton,E09000024,Total,199693,663,Europe,Lithuania,0.33
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Redbridge,E09000026,Total,278970,2827,Europe,Lithuania,1.01
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Richmond upon Thames,E09000027,Total,186990,213,Europe,Lithuania,0.11
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Sutton,E09000029,Total,190146,346,Europe,Lithuania,0.18
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Lithuania,Lithuania,2011,Waltham Forest,E09000031,Total,258249,3500,Europe,Lithuania,1.36
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Camden,E09000007,Total,220338,2932,Europe,Other EU 2001-2011 members,1.33
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,City of London,E09000001,Total,7375,67,Europe,Other EU 2001-2011 members,0.91
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Hackney,E09000012,Total,246270,3530,Europe,Other EU 2001-2011 members,1.43
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Hammersmith and Fulham,E09000013,Total,182493,2110,Europe,Other EU 2001-2011 members,1.16
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Haringey,E09000014,Total,254926,10713,Europe,Other EU 2001-2011 members,4.2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Islington,E09000019,Total,206125,3458,Europe,Other EU 2001-2011 members,1.68
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Kensington and Chelsea,E09000020,Total,158649,1728,Europe,Other EU 2001-2011 members,1.09
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Lambeth,E09000022,Total,303086,3595,Europe,Other EU 2001-2011 members,1.19
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Lewisham,E09000023,Total,275885,4181,Europe,Other EU 2001-2011 members,1.52
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Newham,E09000025,Total,307984,5921,Europe,Other EU 2001-2011 members,1.92
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Southwark,E09000028,Total,288283,4215,Europe,Other EU 2001-2011 members,1.46
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Tower Hamlets,E09000030,Total,254096,3427,Europe,Other EU 2001-2011 members,1.35
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Wandsworth,E09000032,Total,306995,3901,Europe,Other EU 2001-2011 members,1.27
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Westminster,E09000033,Total,219396,3188,Europe,Other EU 2001-2011 members,1.45
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Barking and Dagenham,E09000002,Total,185911,2014,Europe,Other EU 2001-2011 members,1.08
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Barnet,E09000003,Total,356386,9776,Europe,Other EU 2001-2011 members,2.74
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Bexley,E09000004,Total,231997,1544,Europe,Other EU 2001-2011 members,0.67
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Brent,E09000005,Total,311215,4810,Europe,Other EU 2001-2011 members,1.55
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Bromley,E09000006,Total,309392,2368,Europe,Other EU 2001-2011 members,0.77
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Croydon,E09000008,Total,363378,3557,Europe,Other EU 2001-2011 members,0.98
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Ealing,E09000009,Total,338449,4456,Europe,Other EU 2001-2011 members,1.32
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Enfield,E09000010,Total,312466,14891,Europe,Other EU 2001-2011 members,4.77
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Greenwich,E09000011,Total,254557,3536,Europe,Other EU 2001-2011 members,1.39
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Harrow,E09000015,Total,239056,2063,Europe,Other EU 2001-2011 members,0.86
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Havering,E09000016,Total,237232,1201,Europe,Other EU 2001-2011 members,0.51
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Hillingdon,E09000017,Total,273936,1936,Europe,Other EU 2001-2011 members,0.71
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Hounslow,E09000018,Total,253957,2934,Europe,Other EU 2001-2011 members,1.16
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Kingston upon Thames,E09000021,Total,160060,2053,Europe,Other EU 2001-2011 members,1.28
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Merton,E09000024,Total,199693,2830,Europe,Other EU 2001-2011 members,1.42
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Redbridge,E09000026,Total,278970,2718,Europe,Other EU 2001-2011 members,0.97
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Richmond upon Thames,E09000027,Total,186990,1715,Europe,Other EU 2001-2011 members,0.92
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Sutton,E09000029,Total,190146,1569,Europe,Other EU 2001-2011 members,0.83
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Other EU countries,Other EU 2001-2011 members,2011,Waltham Forest,E09000031,Total,258249,7250,Europe,Other EU 2001-2011 members,2.81
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Camden,E09000007,Total,220338,2285,Europe,Poland,1.04
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,City of London,E09000001,Total,7375,46,Europe,Poland,0.62
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Hackney,E09000012,Total,246270,4203,Europe,Poland,1.71
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Hammersmith and Fulham,E09000013,Total,182493,3111,Europe,Poland,1.7
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Haringey,E09000014,Total,254926,10865,Europe,Poland,4.26
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Islington,E09000019,Total,206125,1749,Europe,Poland,0.85
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Kensington and Chelsea,E09000020,Total,158649,1325,Europe,Poland,0.84
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Lambeth,E09000022,Total,303086,6934,Europe,Poland,2.29
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Lewisham,E09000023,Total,275885,4347,Europe,Poland,1.58
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Newham,E09000025,Total,307984,6142,Europe,Poland,1.99
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Southwark,E09000028,Total,288283,3470,Europe,Poland,1.2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Tower Hamlets,E09000030,Total,254096,2674,Europe,Poland,1.05
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Wandsworth,E09000032,Total,306995,6814,Europe,Poland,2.22
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Westminster,E09000033,Total,219396,1893,Europe,Poland,0.86
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Barking and Dagenham,E09000002,Total,185911,1811,Europe,Poland,0.97
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Barnet,E09000003,Total,356386,8614,Europe,Poland,2.42
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Bexley,E09000004,Total,231997,1070,Europe,Poland,0.46
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Brent,E09000005,Total,311215,10575,Europe,Poland,3.4
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Bromley,E09000006,Total,309392,1903,Europe,Poland,0.62
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Croydon,E09000008,Total,363378,5233,Europe,Poland,1.44
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Ealing,E09000009,Total,338449,21507,Europe,Poland,6.35
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Enfield,E09000010,Total,312466,6011,Europe,Poland,1.92
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Greenwich,E09000011,Total,254557,2441,Europe,Poland,0.96
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Harrow,E09000015,Total,239056,3868,Europe,Poland,1.62
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Havering,E09000016,Total,237232,925,Europe,Poland,0.39
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Hillingdon,E09000017,Total,273936,4243,Europe,Poland,1.55
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Hounslow,E09000018,Total,253957,10355,Europe,Poland,4.08
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Kingston upon Thames,E09000021,Total,160060,2146,Europe,Poland,1.34
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Merton,E09000024,Total,199693,6895,Europe,Poland,3.45
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Redbridge,E09000026,Total,278970,2506,Europe,Poland,0.9
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Richmond upon Thames,E09000027,Total,186990,2042,Europe,Poland,1.09
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Sutton,E09000029,Total,190146,2100,Europe,Poland,1.1
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Poland,Poland,2011,Waltham Forest,E09000031,Total,258249,8197,Europe,Poland,3.17
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Camden,E09000007,Total,220338,405,Europe,Romania,0.18
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,City of London,E09000001,Total,7375,15,Europe,Romania,0.2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Hackney,E09000012,Total,246270,564,Europe,Romania,0.23
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Hammersmith and Fulham,E09000013,Total,182493,434,Europe,Romania,0.24
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Haringey,E09000014,Total,254926,2374,Europe,Romania,0.93
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Islington,E09000019,Total,206125,343,Europe,Romania,0.17
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Kensington and Chelsea,E09000020,Total,158649,307,Europe,Romania,0.19
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Lambeth,E09000022,Total,303086,705,Europe,Romania,0.23
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Lewisham,E09000023,Total,275885,811,Europe,Romania,0.29
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Newham,E09000025,Total,307984,4816,Europe,Romania,1.56
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Southwark,E09000028,Total,288283,702,Europe,Romania,0.24
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Tower Hamlets,E09000030,Total,254096,587,Europe,Romania,0.23
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Wandsworth,E09000032,Total,306995,487,Europe,Romania,0.16
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Westminster,E09000033,Total,219396,537,Europe,Romania,0.24
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Barking and Dagenham,E09000002,Total,185911,1265,Europe,Romania,0.68
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Barnet,E09000003,Total,356386,4475,Europe,Romania,1.26
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Bexley,E09000004,Total,231997,242,Europe,Romania,0.1
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Brent,E09000005,Total,311215,6182,Europe,Romania,1.99
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Bromley,E09000006,Total,309392,452,Europe,Romania,0.15
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Croydon,E09000008,Total,363378,880,Europe,Romania,0.24
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Ealing,E09000009,Total,338449,1028,Europe,Romania,0.3
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Enfield,E09000010,Total,312466,1698,Europe,Romania,0.54
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Greenwich,E09000011,Total,254557,982,Europe,Romania,0.39
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Harrow,E09000015,Total,239056,4784,Europe,Romania,2
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Havering,E09000016,Total,237232,459,Europe,Romania,0.19
Europe: Other Europe: EU countries: Countries that joined the EU between April 2001 and March 2011: Romania,Romania,2011,Hillingdon,E09000017,Total,273936,850,Europe,Romania,0.31
