orig_names_21,plot_name_21,date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
Africa: South and Eastern Africa: Zimbabwe,Zimbabwe,2011,Merton,E09000024,Total,199693,1176,Africa,Zimbabwe,0.59
Africa: South and Eastern Africa: Zimbabwe,Zimbabwe,2011,Redbridge,E09000026,Total,278970,597,Africa,Zimbabwe,0.21
Africa: South and Eastern Africa: Zimbabwe,Zimbabwe,2011,Richmond upon Thames,E09000027,Total,186990,496,Africa,Zimbabwe,0.27
Africa: South and Eastern Africa: Zimbabwe,Zimbabwe,2011,Sutton,E09000029,Total,190146,862,Africa,Zimbabwe,0.45
Africa: South and Eastern Africa: Zimbabwe,Zimbabwe,2011,Waltham Forest,E09000031,Total,258249,569,Africa,Zimbabwe,0.22
Antarctica and Oceania: Australasia: Australia,Australia,2011,Camden,E09000007,Total,220338,3499,Antarctica and Oceania,Australia,1.59
Antarctica and Oceania: Australasia: Australia,Australia,2011,City of London,E09000001,Total,7375,137,Antarctica and Oceania,Australia,1.86
Antarctica and Oceania: Australasia: Australia,Australia,2011,Hackney,E09000012,Total,246270,2352,Antarctica and Oceania,Australia,0.96
Antarctica and Oceania: Australasia: Australia,Australia,2011,Hammersmith and Fulham,E09000013,Total,182493,4601,Antarctica and Oceania,Australia,2.52
Antarctica and Oceania: Australasia: Australia,Australia,2011,Haringey,E09000014,Total,254926,1746,Antarctica and Oceania,Australia,0.68
Antarctica and Oceania: Australasia: Australia,Australia,2011,Islington,E09000019,Total,206125,3029,Antarctica and Oceania,Australia,1.47
Antarctica and Oceania: Australasia: Australia,Australia,2011,Kensington and Chelsea,E09000020,Total,158649,2618,Antarctica and Oceania,Australia,1.65
