date,geography,geography_code,total_pop,value,cob_region,cob,percs
2021,South West,E12000009,5701188,5525,Europe,Turkey,0.1
2021,North East,E12000001,2647004,2406581,Europe,England,90.92
2021,North West,E12000002,7417398,6358250,Europe,England,85.72
2021,Yorkshire and The Humber,E12000003,5480772,4757335,Europe,England,86.8
2021,East Midlands,E12000004,4880054,4106626,Europe,England,84.15
2021,West Midlands,E12000005,5950757,4914178,Europe,England,82.58
2021,East of England,E12000006,6335077,5265912,Europe,England,83.12
2021,London,E12000007,8799725,5075165,Europe,England,57.67
2021,South East,E12000008,9278064,7579637,Europe,England,81.69
2021,South West,E12000009,5701188,4925038,Europe,England,86.39
2021,North East,E12000001,2647004,10,Europe,Great Britain not otherwise specified,0
2021,North West,E12000002,7417398,41,Europe,Great Britain not otherwise specified,0
2021,Yorkshire and The Humber,E12000003,5480772,23,Europe,Great Britain not otherwise specified,0
2021,East Midlands,E12000004,4880054,35,Europe,Great Britain not otherwise specified,0
2021,West Midlands,E12000005,5950757,58,Europe,Great Britain not otherwise specified,0
2021,East of England,E12000006,6335077,42,Europe,Great Britain not otherwise specified,0
2021,London,E12000007,8799725,119,Europe,Great Britain not otherwise specified,0
2021,South East,E12000008,9278064,76,Europe,Great Britain not otherwise specified,0
2021,South West,E12000009,5701188,86,Europe,Great Britain not otherwise specified,0
2021,North East,E12000001,2647004,8986,Europe,Northern Ireland,0.34
2021,North West,E12000002,7417398,35228,Europe,Northern Ireland,0.47
2021,Yorkshire and The Humber,E12000003,5480772,15488,Europe,Northern Ireland,0.28
2021,East Midlands,E12000004,4880054,14170,Europe,Northern Ireland,0.29
2021,West Midlands,E12000005,5950757,16439,Europe,Northern Ireland,0.28
2021,East of England,E12000006,6335077,18772,Europe,Northern Ireland,0.3
2021,London,E12000007,8799725,28248,Europe,Northern Ireland,0.32
2021,South East,E12000008,9278064,32637,Europe,Northern Ireland,0.35
2021,South West,E12000009,5701188,20573,Europe,Northern Ireland,0.36
2021,North East,E12000001,2647004,43434,Europe,Scotland,1.64
2021,North West,E12000002,7417398,89025,Europe,Scotland,1.2
2021,Yorkshire and The Humber,E12000003,5480772,60619,Europe,Scotland,1.11
2021,East Midlands,E12000004,4880054,57935,Europe,Scotland,1.19
2021,West Midlands,E12000005,5950757,45250,Europe,Scotland,0.76
2021,East of England,E12000006,6335077,67272,Europe,Scotland,1.06
2021,London,E12000007,8799725,75004,Europe,Scotland,0.85
2021,South East,E12000008,9278064,118021,Europe,Scotland,1.27
2021,South West,E12000009,5701188,69883,Europe,Scotland,1.23
2021,North East,E12000001,2647004,69,Europe,United Kingdom not otherwise specified,0
2021,North West,E12000002,7417398,343,Europe,United Kingdom not otherwise specified,0
2021,Yorkshire and The Humber,E12000003,5480772,255,Europe,United Kingdom not otherwise specified,0
2021,East Midlands,E12000004,4880054,187,Europe,United Kingdom not otherwise specified,0
2021,West Midlands,E12000005,5950757,240,Europe,United Kingdom not otherwise specified,0
2021,East of England,E12000006,6335077,252,Europe,United Kingdom not otherwise specified,0
2021,London,E12000007,8799725,644,Europe,United Kingdom not otherwise specified,0.01
2021,South East,E12000008,9278064,378,Europe,United Kingdom not otherwise specified,0
2021,South West,E12000009,5701188,243,Europe,United Kingdom not otherwise specified,0
2021,North East,E12000001,2647004,8788,Europe,Wales,0.33
2021,North West,E12000002,7417398,69106,Europe,Wales,0.93
2021,Yorkshire and The Humber,E12000003,5480772,24794,Europe,Wales,0.45
2021,East Midlands,E12000004,4880054,31721,Europe,Wales,0.65
2021,West Midlands,E12000005,5950757,72157,Europe,Wales,1.21
