date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
2011,East,E12000006,Total,5846965,31000,The Americas and the Caribbean,United States,0.53
2011,London,E12000007,Total,8173941,63920,The Americas and the Caribbean,United States,0.78
2011,South East,E12000008,Total,8634750,32242,The Americas and the Caribbean,United States,0.37
2011,South West,E12000009,Total,5288935,12104,The Americas and the Caribbean,United States,0.23
2011,North East,E12000001,Total,2596886,1163,The Americas and the Caribbean,All South American countries,0.04
2011,North West,E12000002,Total,7052177,5113,The Americas and the Caribbean,All South American countries,0.07
2011,Yorkshire and The Humber,E12000003,Total,5283733,3247,The Americas and the Caribbean,All South American countries,0.06
2011,East Midlands,E12000004,Total,4533222,3406,The Americas and the Caribbean,All South American countries,0.08
2011,West Midlands,E12000005,Total,5601847,3548,The Americas and the Caribbean,All South American countries,0.06
2011,East,E12000006,Total,5846965,9373,The Americas and the Caribbean,All South American countries,0.16
2011,London,E12000007,Total,8173941,90315,The Americas and the Caribbean,All South American countries,1.1
2011,South East,E12000008,Total,8634750,19183,The Americas and the Caribbean,All South American countries,0.22
2011,South West,E12000009,Total,5288935,7825,The Americas and the Caribbean,All South American countries,0.15
2011,North East,E12000001,Total,2596886,301,The Americas and the Caribbean,Jamaica,0.01
2011,North West,E12000002,Total,7052177,7106,The Americas and the Caribbean,Jamaica,0.1
2011,Yorkshire and The Humber,E12000003,Total,5283733,6105,The Americas and the Caribbean,Jamaica,0.12
2011,East Midlands,E12000004,Total,4533222,8650,The Americas and the Caribbean,Jamaica,0.19
2011,West Midlands,E12000005,Total,5601847,28615,The Americas and the Caribbean,Jamaica,0.51
2011,East,E12000006,Total,5846965,7629,The Americas and the Caribbean,Jamaica,0.13
2011,London,E12000007,Total,8173941,87467,The Americas and the Caribbean,Jamaica,1.07
2011,South East,E12000008,Total,8634750,6924,The Americas and the Caribbean,Jamaica,0.08
2011,South West,E12000009,Total,5288935,6373,The Americas and the Caribbean,Jamaica,0.12
2011,North East,E12000001,Total,2596886,492,The Americas and the Caribbean,Other Caribbean,0.02
2011,North West,E12000002,Total,7052177,4374,The Americas and the Caribbean,Other Caribbean,0.06
2011,Yorkshire and The Humber,E12000003,Total,5283733,4544,The Americas and the Caribbean,Other Caribbean,0.09
2011,East Midlands,E12000004,Total,4533222,4876,The Americas and the Caribbean,Other Caribbean,0.11
2011,West Midlands,E12000005,Total,5601847,7779,The Americas and the Caribbean,Other Caribbean,0.14
2011,East,E12000006,Total,5846965,8207,The Americas and the Caribbean,Other Caribbean,0.14
2011,London,E12000007,Total,8173941,56891,The Americas and the Caribbean,Other Caribbean,0.7
2011,South East,E12000008,Total,8634750,12514,The Americas and the Caribbean,Other Caribbean,0.14
2011,South West,E12000009,Total,5288935,3245,The Americas and the Caribbean,Other Caribbean,0.06
